Close,Open,High,Low,Adj Close,Volume
0.079241,0.079241,0.079799,0.079241,0.061157,210582400
0.075335,0.075893,0.075893,0.075335,0.058143,98649600
0.076451,0.076451,0.077009,0.076451,0.059004,80438400
0.080357,0.080357,0.080915,0.080357,0.062019,140560000
0.078125,0.078683,0.078683,0.078125,0.060296,82566400
0.081473,0.081473,0.082031,0.081473,0.06288,75420800
0.082031,0.082031,0.082589,0.082031,0.063311,104540800
0.077567,0.078125,0.078125,0.077567,0.059865,81379200
0.080357,0.080357,0.080915,0.080357,0.062019,72329600
0.078683,0.079241,0.079241,0.078683,0.060727,63593600
0.080915,0.080915,0.081473,0.080915,0.062449,56067200
0.081473,0.081473,0.082031,0.081473,0.06288,58889600
0.084263,0.084263,0.084821,0.084263,0.065033,101494400
0.083705,0.084263,0.084263,0.083705,0.064603,71747200
0.080915,0.082031,0.082031,0.080915,0.062449,80371200
0.079241,0.079799,0.079799,0.079241,0.061157,54051200
0.079799,0.079799,0.080357,0.079799,0.061588,39132800
0.081473,0.081473,0.082031,0.081473,0.06288,36668800
0.083705,0.083705,0.084263,0.083705,0.064603,103376000
0.083705,0.083705,0.084263,0.083705,0.064603,139820800
0.080915,0.081473,0.081473,0.080915,0.062449,178192000
0.080915,0.080915,0.082031,0.080915,0.062449,38147200
0.082031,0.082031,0.083147,0.082031,0.063311,85523200
0.082031,0.082031,0.082589,0.082031,0.063311,65564800
0.081473,0.082031,0.082031,0.081473,0.06288,74681600
0.082589,0.082589,0.083705,0.082589,0.063741,46256000
0.083705,0.082589,0.084263,0.080357,0.064603,69328000
0.084263,0.083705,0.085938,0.083705,0.065033,80236800
0.090402,0.084263,0.090402,0.084263,0.069771,173532800
0.097656,0.09096,0.098214,0.09096,0.07537,311673600
0.104911,0.097656,0.105469,0.097098,0.080969,275542400
0.107143,0.104911,0.110491,0.104911,0.082692,313734400
0.103795,0.107143,0.108817,0.102679,0.080108,258944000
0.104911,0.103795,0.108259,0.102679,0.080969,198844800
0.105469,0.104911,0.106585,0.103237,0.0814,178662400
0.102679,0.104911,0.104911,0.101004,0.079247,144614400
0.104911,0.102679,0.105469,0.102679,0.080969,94348800
0.107143,0.104911,0.108259,0.104911,0.082692,122841600
0.113281,0.107143,0.114397,0.106585,0.087429,242099200
0.116071,0.113281,0.11942,0.111607,0.089582,227516800
0.115513,0.116071,0.11942,0.115513,0.089152,161683200
0.108817,0.115513,0.116071,0.108259,0.083984,184934400
0.109375,0.108817,0.109933,0.103795,0.084415,167753600
0.112165,0.109375,0.112723,0.109375,0.086568,191161600
0.112165,0.112165,0.113281,0.110491,0.086568,217683200
0.113281,0.112165,0.113281,0.110491,0.087429,118115200
0.11942,0.113281,0.120536,0.112165,0.092167,104361600
0.12779,0.120536,0.131696,0.120536,0.098627,310844800
0.137277,0.12779,0.137277,0.12779,0.105949,235132800
